NUMERO,NOMRE,TIPO_1,TIPO_2,PUNTOS_DE_VIDA,PUNTOS_ATAQUE,PUNTOS_DEFENSA,PUNTOS_ATAQUE_ESPECIAL,PUNTO_DEFENSA_ESPECIAL,PUNTOS_VELOCIDAD,NOMBRE_GENERATIONS,LEGENDARIO
85,Rapidash,Fuego,,65,100,70,80,80,105,1,FALSO
86,Slowpoke,Agua,Psiquico,90,65,65,40,40,15,1,FALSO
87,Slowbro,Agua,Psiquico,95,75,110,100,80,30,1,FALSO
88,Mega Slowbro,Agua,Psiquico,95,75,180,130,80,30,1,FALSO
89,Magnemite,Electrico,Acero,25,35,70,95,55,45,1,FALSO
90,Magneton,Electrico,Acero,50,60,95,120,70,70,1,FALSO
91,Farfetch'd,Normal,Volador,52,65,55,58,62,60,1,FALSO
92,Doduo,Normal,Volador,35,85,45,35,35,75,1,FALSO
93,Dodrio,Normal,Volador,60,110,70,60,60,100,1,FALSO
94,Seel,Agua,,65,45,55,45,70,45,1,FALSO
95,Dewgong,Agua,Hielo,90,70,80,70,95,70,1,FALSO
96,Grimer,Veneno,,80,80,50,40,50,25,1,FALSO
97,Muk,Veneno,,105,105,75,65,100,50,1,FALSO
98,Shellder,Agua,,30,65,100,45,25,40,1,FALSO
99,Cloyster,Agua,Hielo,50,95,180,85,45,70,1,FALSO
100,Gastly,Fantasma,Veneno,30,35,30,100,35,80,1,FALSO
101,Haunter,Fantasma,Veneno,45,50,45,115,55,95,1,FALSO
102,Gengar,Fantasma,Veneno,60,65,60,130,75,110,1,FALSO
103,Mega Gengar,Fantasma,Veneno,60,65,80,170,95,130,1,FALSO
104,Onix,Roca,Tierra,35,45,160,30,45,70,1,FALSO
105,Drowzee,Psiquico,,60,48,45,43,90,42,1,FALSO
106,Hypno,Psiquico,,85,73,70,73,115,67,1,FALSO
107,Krabby,Agua,,30,105,90,25,25,50,1,FALSO
108,Kingler,Agua,,55,130,115,50,50,75,1,FALSO
109,Voltorb,Electrico,,40,30,50,55,55,100,1,FALSO
110,Electrode,Electrico,,60,50,70,80,80,140,1,FALSO
111,Exeggcute,Planta,Psiquico,60,40,80,60,45,40,1,FALSO
112,Exeggutor,Planta,Psiquico,95,95,85,125,65,55,1,FALSO
113,Cubone,Tierra,,50,50,95,40,50,35,1,FALSO
114,Marowak,Tierra,,60,80,110,50,80,45,1,FALSO
115,Hitmonlee,Combate,,50,120,53,35,110,87,1,FALSO
116,Hitmonchan,Combate,,50,105,79,35,110,76,1,FALSO
117,Lickitung,Normal,,90,55,75,60,75,30,1,FALSO
118,Koffing,Veneno,,40,65,95,60,45,35,1,FALSO
119,Weezing,Veneno,,65,90,120,85,70,60,1,FALSO
120,Rhyhorn,Tierra,Roca,80,85,95,30,30,25,1,FALSO
121,Rhydon,Tierra,Roca,105,130,120,45,45,40,1,FALSO
122,Chansey,Normal,,250,5,5,35,105,50,1,FALSO
123,Tangela,Planta,,65,55,115,100,40,60,1,FALSO
124,Kangashian,Normal,,105,95,80,40,80,90,1,FALSO
125,Mega Kangashian,Normal,,105,125,100,60,100,100,1,FALSO
126,Horsea,Agua,,30,40,70,70,25,60,1,FALSO
127,Seadra,Agua,,55,65,95,95,45,85,1,FALSO
128,Goldeen,Agua,,45,67,60,35,50,63,1,FALSO
129,Seaking,Agua,,80,92,65,65,80,68,1,FALSO
130,Staryu,Agua,,30,45,55,70,55,85,1,FALSO
131,Starmie,Agua,Psiquico,60,75,85,100,85,115,1,FALSO
132,M. Mime,Psiquico,Hada,40,45,65,100,120,90,1,FALSO
133,Scyther,Bicho,Volador,70,110,80,55,80,105,1,FALSO
134,Jynx,Hielo,Psiquico,65,50,35,115,95,95,1,FALSO
135,Electabuzz,Electrico,,65,83,57,95,85,105,1,FALSO
136,Magmar,Fuego,,65,95,57,100,85,93,1,FALSO
137,Pinsir,Bicho,,65,125,100,55,70,85,1,FALSO
138,Mega Pinsir,Bicho,Volador,65,155,120,65,90,105,1,FALSO
139,Tauros,Normal,,75,100,95,40,70,110,1,FALSO
140,Magikarp,Agua,,20,10,55,15,20,80,1,FALSO
141,Gyarados,Agua,Volador,95,125,79,60,100,81,1,FALSO
142,Mega Gyarados,Agua,Siniestro,95,155,109,70,130,81,1,FALSO
143,Lapras,Agua,Hielo,130,85,80,85,95,60,1,FALSO
144,Ditto,Normal,,48,48,48,48,48,48,1,FALSO
145,Eevee,Normal,,55,55,50,45,65,55,1,FALSO
146,Vaporeon,Agua,,130,65,60,110,95,65,1,FALSO
147,Jolteon,Electrico,,65,65,60,110,95,130,1,FALSO
148,Flareon,Fuego,,65,130,60,95,110,65,1,FALSO
149,Porygon,Normal,,65,60,70,85,75,40,1,FALSO
150,Omanyte,Roca,Agua,35,40,100,90,55,35,1,FALSO
151,Omastar,Roca,Agua,70,60,125,115,70,55,1,FALSO
152,Kabuto,Roca,Agua,30,80,90,55,45,55,1,FALSO
153,Kabutops,Roca,Agua,60,115,105,65,70,80,1,FALSO
154,Aerodactyl,Roca,Volador,80,105,65,60,75,130,1,FALSO
155,Mega Aerodactyl,Roca,Volador,80,135,85,70,95,150,1,FALSO
156,Snorlax,Normal,,160,110,65,65,110,30,1,FALSO
157,Articuno,Hielo,Volador,90,85,100,95,125,85,1,VERDADERO
158,Zapdos,Electrico,Volador,90,90,85,125,90,100,1,VERDADERO
159,Moltres,Fuego,Volador,90,100,90,125,85,90,1,VERDADERO
160,Dratini,Dragon,,41,64,45,50,50,50,1,FALSO
161,Dragonair,Dragon,,61,84,65,70,70,70,1,FALSO
162,Dragonite,Dragon,Volador,91,134,95,100,100,80,1,FALSO
163,Mewtwo,Psiquico,,106,110,90,154,90,130,1,VERDADERO
164,Mega Mewtwo X,Psiquico,Combate,106,190,100,154,100,130,1,VERDADERO
165,Mega Mewtwo Y,Psiquico,,106,150,70,194,120,140,1,VERDADERO
166,Mew,Psiquico,,100,100,100,100,100,100,1,FALSO
167,Chikorita,Planta,,45,49,65,49,65,45,2,FALSO
168,Bayleef,Planta,,60,62,80,63,80,60,2,FALSO
169,Meganium,Planta,,80,82,100,83,100,80,2,FALSO
170,Cyndaquil,Fuego,,39,52,43,60,50,65,2,FALSO
171,Quilava,Fuego,,58,64,58,80,65,80,2,FALSO
172,Typhlosion,Fuego,,78,84,78,109,85,100,2,FALSO
173,Totodile,Agua,,50,65,64,44,48,43,2,FALSO
174,Croconaw,Agua,,65,80,80,59,63,58,2,FALSO
175,Feraligatr,Agua,,85,105,100,79,83,78,2,FALSO
176,Sentret,Normal,,35,46,34,35,45,20,2,FALSO
177,Furret,Normal,,85,76,64,45,55,90,2,FALSO
178,Hoothoot,Normal,Volador,60,30,30,36,56,50,2,FALSO
179,Noctowl,Normal,Volador,100,50,50,76,96,70,2,FALSO
180,Ledyba,Bicho,Volador,40,20,30,40,80,55,2,FALSO
181,Ledian,Bicho,Volador,55,35,50,55,110,85,2,FALSO
182,Spinarak,Bicho,Veneno,40,60,40,40,40,30,2,FALSO
183,Ariados,Bicho,Veneno,70,90,70,60,60,40,2,FALSO
184,Crobat,Veneno,Volador,85,90,80,70,80,130,2,FALSO
185,Chinchou,Agua,Electrico,75,38,38,56,56,67,2,FALSO
186,Lanturn,Agua,Electrico,125,58,58,76,76,67,2,FALSO
187,Pichu,Electrico,,20,40,15,35,35,60,2,FALSO
188,Cleffa,Hada,,50,25,28,45,55,15,2,FALSO
189,Igglybuff,Normal,Hada,90,30,15,40,20,15,2,FALSO
190,Togepi,Hada,,35,20,65,40,65,20,2,FALSO
191,Togetic,Hada,Volador,55,40,85,80,105,40,2,FALSO
192,Natu,Psiquico,Volador,40,50,45,70,45,70,2,FALSO
193,Xatu,Psiquico,Volador,65,75,70,95,70,95,2,FALSO
194,Mareep,Electrico,,55,40,40,65,45,35,2,FALSO
195,Flaaffy,Electrico,,70,55,55,80,60,45,2,FALSO
196,Ampharos,Electrico,,90,75,85,115,90,55,2,FALSO
197,Mega Ampharos,Electrico,Dragon,90,95,105,165,110,45,2,FALSO
198,Bellossom,Planta,,75,80,95,90,100,50,2,FALSO
199,Marill,Agua,Hada,70,20,50,20,50,40,2,FALSO
200,Azumarill,Agua,Hada,100,50,80,60,80,50,2,FALSO
201,Sudowoodo,Roca,,70,100,115,30,65,30,2,FALSO
202,Politoed,Agua,,90,75,75,90,100,70,2,FALSO
203,Hoppip,Planta,Volador,35,35,40,35,55,50,2,FALSO
204,Skiploom,Planta,Volador,55,45,50,45,65,80,2,FALSO
205,Jumpluff,Planta,Volador,75,55,70,55,95,110,2,FALSO
206,Aipom,Normal,,55,70,55,40,55,85,2,FALSO
207,Sunkern,Planta,,30,30,30,30,30,30,2,FALSO
208,Sunflora,Planta,,75,75,55,105,85,30,2,FALSO
209,Yanma,Bicho,Volador,65,65,45,75,45,95,2,FALSO
210,Wooper,Agua,Tierra,55,45,45,25,25,15,2,FALSO
211,Quagsire,Agua,Tierra,95,85,85,65,65,35,2,FALSO
212,Espeon,Psiquico,,65,65,60,130,95,110,2,FALSO
213,Umbreon,Siniestro,,95,65,110,60,130,65,2,FALSO
214,Murkrow,Siniestro,Volador,60,85,42,85,42,91,2,FALSO
215,Slowking,Agua,Psiquico,95,75,80,100,110,30,2,FALSO
216,Misdreavus,Fantasma,,60,60,60,85,85,85,2,FALSO
217,Unown,Psiquico,,48,72,48,72,48,48,2,FALSO
218,Wobbuffet,Psiquico,,190,33,58,33,58,33,2,FALSO
219,Girafarig,Normal,Psiquico,70,80,65,90,65,85,2,FALSO
220,Pineco,Bicho,,50,65,90,35,35,15,2,FALSO
221,Forretress,Bicho,Acero,75,90,140,60,60,40,2,FALSO
222,Dunsparce,Normal,,100,70,70,65,65,45,2,FALSO
223,Gligar,Tierra,Volador,65,75,105,35,65,85,2,FALSO
224,Steelix,Acero,Tierra,75,85,200,55,65,30,2,FALSO
225,Mega Steelix,Acero,Tierra,75,125,230,55,95,30,2,FALSO
226,Snubbull,Hada,,60,80,50,40,40,30,2,FALSO
227,Granbull,Hada,,90,120,75,60,60,45,2,FALSO
228,Qwilfish,Agua,Veneno,65,95,75,55,55,85,2,FALSO
229,Scizor,Bicho,Acero,70,130,100,55,80,65,2,FALSO
230,Mega Scizor,Bicho,Acero,70,150,140,65,100,75,2,FALSO
231,Shuckle,Bicho,Roca,20,10,230,10,230,5,2,FALSO
232,Heracross,Bicho,Combate,80,125,75,40,95,85,2,FALSO
233,Mega Heracross,Bicho,Combate,80,185,115,40,105,75,2,FALSO
234,Sneasel,Siniestro,Hielo,55,95,55,35,75,115,2,FALSO
235,Teddiursa,Normal,,60,80,50,50,50,40,2,FALSO
236,Ursaring,Normal,,90,130,75,75,75,55,2,FALSO
237,Slugma,Fuego,,40,40,40,70,40,20,2,FALSO
238,Magcargo,Fuego,Roca,50,50,120,80,80,30,2,FALSO
239,Swinub,Hielo,Tierra,50,50,40,30,30,50,2,FALSO
240,Piloswine,Hielo,Tierra,100,100,80,60,60,50,2,FALSO
241,Corsola,Agua,Roca,55,55,85,65,85,35,2,FALSO
242,Remoraid,Agua,,35,65,35,65,35,65,2,FALSO
243,Octillery,Agua,,75,105,75,105,75,45,2,FALSO
244,Delibird,Hielo,Volador,45,55,45,65,45,75,2,FALSO
245,Mantine,Agua,Volador,65,40,70,80,140,70,2,FALSO
246,Skarmory,Acero,Volador,65,80,140,40,70,70,2,FALSO
247,Houndour,Siniestro,Fuego,45,60,30,80,50,65,2,FALSO
248,Houndoom,Siniestro,Fuego,75,90,50,110,80,95,2,FALSO
249,Mega Houndoom,Siniestro,Fuego,75,90,90,140,90,115,2,FALSO
250,Kingdra,Agua,Dragon,75,95,95,95,95,85,2,FALSO
251,Phanpy,Tierra,,90,60,60,40,40,40,2,FALSO
252,Donphan,Tierra,,90,120,120,60,60,50,2,FALSO
253,Porygon2,Normal,,85,80,90,105,95,60,2,FALSO
254,Stantler,Normal,,73,95,62,85,65,85,2,FALSO
255,Smeargle,Normal,,55,20,35,20,45,75,2,FALSO
256,Tyrogue,Combate,,35,35,35,35,35,35,2,FALSO
257,Hitmontop,Combate,,50,95,95,35,110,70,2,FALSO
258,Smoochum,Hielo,Psiquico,45,30,15,85,65,65,2,FALSO
259,Elekid,Electrico,,45,63,37,65,55,95,2,FALSO
260,Magby,Fuego,,45,75,37,70,55,83,2,FALSO
261,Miltank,Normal,,95,80,105,40,70,100,2,FALSO
262,Blissey,Normal,,255,10,10,75,135,55,2,FALSO
263,Raikou,Electrico,,90,85,75,115,100,115,2,VERDADERO
264,Entei,Fuego,,115,115,85,90,75,100,2,VERDADERO
265,Suicune,Agua,,100,75,115,90,115,85,2,VERDADERO
266,Larvitar,Roca,Tierra,50,64,50,45,50,41,2,FALSO
267,Pupitar,Roca,Tierra,70,84,70,65,70,51,2,FALSO
268,Tyranitar,Roca,Siniestro,100,134,110,95,100,61,2,FALSO
269,Mega Tyranitar,Roca,Siniestro,100,164,150,95,120,71,2,FALSO
270,Lugia,Psiquico,Volador,106,90,130,90,154,110,2,VERDADERO
271,Ho-Oh,Fuego,Volador,106,130,90,110,154,90,2,VERDADERO
272,Celebi,Psiquico,Planta,100,100,100,100,100,100,2,FALSO
273,Treecko,Planta,,40,45,35,65,55,70,3,FALSO
274,Grovyle,Planta,,50,65,45,85,65,95,3,FALSO
275,Sceptile,Planta,,70,85,65,105,85,120,3,FALSO
276,Mega Sceptile,Planta,Dragon,70,110,75,145,85,145,3,FALSO
277,Torchic,Fuego,,45,60,40,70,50,45,3,FALSO
278,Combusken,Fuego,Combate,60,85,60,85,60,55,3,FALSO
279,Blaziken,Fuego,Combate,80,120,70,110,70,80,3,FALSO
280,Mega Blaziken,Fuego,Combate,80,160,80,130,80,100,3,FALSO
281,Mudkip,Agua,,50,70,50,50,50,40,3,FALSO
282,Marshtomp,Agua,Tierra,70,85,70,60,70,50,3,FALSO
283,Swampert,Agua,Tierra,100,110,90,85,90,60,3,FALSO
284,Mega Swampert,Agua,Tierra,100,150,110,95,110,70,3,FALSO
285,Poochyena,Siniestro,,35,55,35,30,30,35,3,FALSO
286,Mightyena,Siniestro,,70,90,70,60,60,70,3,FALSO
287,Zigzagoon,Normal,,38,30,41,30,41,60,3,FALSO
288,Linoone,Normal,,78,70,61,50,61,100,3,FALSO
289,Wurmple,Bicho,,45,45,35,20,30,20,3,FALSO
290,Silcoon,Bicho,,50,35,55,25,25,15,3,FALSO
291,Beautifly,Bicho,Volador,60,70,50,100,50,65,3,FALSO
292,Cascoon,Bicho,,50,35,55,25,25,15,3,FALSO
293,Dustox,Bicho,Veneno,60,50,70,50,90,65,3,FALSO
294,Lotad,Agua,Planta,40,30,30,40,50,30,3,FALSO
295,Lombre,Agua,Planta,60,50,50,60,70,50,3,FALSO
296,Ludicolo,Agua,Planta,80,70,70,90,100,70,3,FALSO
297,Seedot,Planta,,40,40,50,30,30,30,3,FALSO
298,Nuzleaf,Planta,Siniestro,70,70,40,60,40,60,3,FALSO
299,Shiftry,Planta,Siniestro,90,100,60,90,60,80,3,FALSO
300,Taillow,Normal,Volador,40,55,30,30,30,85,3,FALSO
301,Swellow,Normal,Volador,60,85,60,50,50,125,3,FALSO
302,Wingull,Agua,Volador,40,30,30,55,30,85,3,FALSO
303,Pelipper,Agua,Volador,60,50,100,85,70,65,3,FALSO
304,Ralts,Psiquico,Hada,28,25,25,45,35,40,3,FALSO
305,Kirlia,Psiquico,Hada,38,35,35,65,55,50,3,FALSO
306,Gardevoir,Psiquico,Hada,68,65,65,125,115,80,3,FALSO
307,Mega Gardevoir,Psiquico,Hada,68,85,65,165,135,100,3,FALSO
308,Surskit,Bicho,Agua,40,30,32,50,52,65,3,FALSO
309,Masquerain,Bicho,Volador,70,60,62,80,82,60,3,FALSO
310,Shroomish,Planta,,60,40,60,40,60,35,3,FALSO
311,Breloom,Planta,Combate,60,130,80,60,60,70,3,FALSO
312,Slakoth,Normal,,60,60,60,35,35,30,3,FALSO
313,Vigoroth,Normal,,80,80,80,55,55,90,3,FALSO
314,Slaking,Normal,,150,160,100,95,65,100,3,FALSO
315,Nincada,Bicho,Tierra,31,45,90,30,30,40,3,FALSO
316,Ninjask,Bicho,Volador,61,90,45,50,50,160,3,FALSO
317,Shedinja,Bicho,Fantasma,1,90,45,30,30,40,3,FALSO
318,Whismur,Normal,,64,51,23,51,23,28,3,FALSO
319,Loudred,Normal,,84,71,43,71,43,48,3,FALSO
320,Exploud,Normal,,104,91,63,91,73,68,3,FALSO
321,Makuhita,Combate,,72,60,30,20,30,25,3,FALSO
322,Hariyama,Combate,,144,120,60,40,60,50,3,FALSO
323,Azurill,Normal,Hada,50,20,40,20,40,20,3,FALSO
324,Nosepass,Roca,,30,45,135,45,90,30,3,FALSO
325,Skitty,Normal,,50,45,45,35,35,50,3,FALSO
326,Delcatty,Normal,,70,65,65,55,55,70,3,FALSO
327,Sableye,Siniestro,Fantasma,50,75,75,65,65,50,3,FALSO
328,Mega Sableye,Siniestro,Fantasma,50,85,125,85,115,20,3,FALSO
329,Mawile,Acero,Hada,50,85,85,55,55,50,3,FALSO
330,Mega Mawile,Acero,Hada,50,105,125,55,95,50,3,FALSO
331,Aron,Acero,Roca,50,70,100,40,40,30,3,FALSO
332,Lairon,Acero,Roca,60,90,140,50,50,40,3,FALSO
333,Aggron,Acero,Roca,70,110,180,60,60,50,3,FALSO
334,Mega Aggron,Acero,,70,140,230,60,80,50,3,FALSO
335,Meditite,Combate,Psiquico,30,40,55,40,55,60,3,FALSO
336,Medicham,Combate,Psiquico,60,60,75,60,75,80,3,FALSO
337,Mega Medicham,Combate,Psiquico,60,100,85,80,85,100,3,FALSO
338,Electrike,Electrico,,40,45,40,65,40,65,3,FALSO
339,Manectric,Electrico,,70,75,60,105,60,105,3,FALSO
340,Mega Manectric,Electrico,,70,75,80,135,80,135,3,FALSO
341,Plusle,Electrico,,60,50,40,85,75,95,3,FALSO
342,Minun,Electrico,,60,40,50,75,85,95,3,FALSO
343,Volbeat,Bicho,,65,73,55,47,75,85,3,FALSO
344,Illumise,Bicho,,65,47,55,73,75,85,3,FALSO
345,Roselia,Planta,Veneno,50,60,45,100,80,65,3,FALSO
346,Gulpin,Veneno,,70,43,53,43,53,40,3,FALSO
347,Swalot,Veneno,,100,73,83,73,83,55,3,FALSO
348,Carvanha,Agua,Siniestro,45,90,20,65,20,65,3,FALSO
349,Sharpedo,Agua,Siniestro,70,120,40,95,40,95,3,FALSO
350,Mega Sharpedo,Agua,Siniestro,70,140,70,110,65,105,3,FALSO
351,Wailmer,Agua,,130,70,35,70,35,60,3,FALSO
352,Wailord,Agua,,170,90,45,90,45,60,3,FALSO
353,Numel,Fuego,Tierra,60,60,40,65,45,35,3,FALSO
354,Camerupt,Fuego,Tierra,70,100,70,105,75,40,3,FALSO
355,Mega Camerupt,Fuego,Tierra,70,120,100,145,105,20,3,FALSO
356,Torkoal,Fuego,,70,85,140,85,70,20,3,FALSO
357,Spoink,Psiquico,,60,25,35,70,80,60,3,FALSO
358,Grumpig,Psiquico,,80,45,65,90,110,80,3,FALSO
359,Spinda,Normal,,60,60,60,60,60,60,3,FALSO
360,Trapinch,Tierra,,45,100,45,45,45,10,3,FALSO
361,Vibrava,Tierra,Dragon,50,70,50,50,50,70,3,FALSO
362,Flygon,Tierra,Dragon,80,100,80,80,80,100,3,FALSO
363,Cacnea,Planta,,50,85,40,85,40,35,3,FALSO
364,Cacturne,Planta,Siniestro,70,115,60,115,60,55,3,FALSO
365,Swablu,Normal,Volador,45,40,60,40,75,50,3,FALSO
366,Altaria,Dragon,Volador,75,70,90,70,105,80,3,FALSO
367,Mega Altaria,Dragon,Hada,75,110,110,110,105,80,3,FALSO
368,Zangoose,Normal,,73,115,60,60,60,90,3,FALSO
369,Seviper,Veneno,,73,100,60,100,60,65,3,FALSO
370,Lunatone,Roca,Psiquico,70,55,65,95,85,70,3,FALSO
371,Solrock,Roca,Psiquico,70,95,85,55,65,70,3,FALSO
372,Barboach,Agua,Tierra,50,48,43,46,41,60,3,FALSO
373,Whiscash,Agua,Tierra,110,78,73,76,71,60,3,FALSO
374,Corphish,Agua,,43,80,65,50,35,35,3,FALSO
375,Crawdaunt,Agua,Siniestro,63,120,85,90,55,55,3,FALSO
376,Baltoy,Tierra,Psiquico,40,40,55,40,70,55,3,FALSO
377,Claydol,Tierra,Psiquico,60,70,105,70,120,75,3,FALSO
378,Lileep,Roca,Planta,66,41,77,61,87,23,3,FALSO
379,Cradily,Roca,Planta,86,81,97,81,107,43,3,FALSO
380,Anorith,Roca,Bicho,45,95,50,40,50,75,3,FALSO
381,Armaldo,Roca,Bicho,75,125,100,70,80,45,3,FALSO
382,Feebas,Agua,,20,15,20,10,55,80,3,FALSO
383,Milotic,Agua,,95,60,79,100,125,81,3,FALSO
384,Castform,Normal,,70,70,70,70,70,70,3,FALSO
385,Kecleon,Normal,,60,90,70,60,120,40,3,FALSO
386,Shuppet,Fantasma,,44,75,35,63,33,45,3,FALSO
387,Banette,Fantasma,,64,115,65,83,63,65,3,FALSO
388,Mega Banette,Fantasma,,64,165,75,93,83,75,3,FALSO
389,Duskull,Fantasma,,20,40,90,30,90,25,3,FALSO
390,Dusclops,Fantasma,,40,70,130,60,130,25,3,FALSO
391,Tropius,Planta,Volador,99,68,83,72,87,51,3,FALSO
392,Chimecho,Psiquico,,65,50,70,95,80,65,3,FALSO
393,Absol,Siniestro,,65,130,60,75,60,75,3,FALSO
394,Mega Absol,Siniestro,,65,150,60,115,60,115,3,FALSO
395,Wynaut,Psiquico,,95,23,48,23,48,23,3,FALSO
396,Snorunt,Hielo,,50,50,50,50,50,50,3,FALSO
397,Glalie,Hielo,,80,80,80,80,80,80,3,FALSO
398,Mega Glalie,Hielo,,80,120,80,120,80,100,3,FALSO
